x,y,z,vx,vy,vz,m,id
8.05E-02,-0.56144536,-0.33656502,-0.35172519,-4.94E-02,-0.77399772,1.56E-05,79
-0.16221587,-0.35937905,-0.16322085,0.22903158,0.16089788,-2.54E-02,1.56E-05,80
0.1314294,0.98769301,0.67693657,-0.29316229,-0.16210365,-0.90652448,1.56E-05,81
-6.41E-02,-4.83E-02,9.30E-02,0.53931844,0.77985644,-0.30069637,1.56E-05,82
1.2972026,1.6374118,-1.5576919,-6.40E-02,6.57E-02,0.26850474,1.56E-05,83
-0.32111722,0.11327853,4.60E-02,0.92647552,-0.32347012,0.4512248,1.56E-05,84
0.48276791,-0.20978281,-0.42045546,0.40543237,-1.0940624,0.42378747,1.56E-05,85
0.96916533,-0.81218821,8.12E-02,-0.49112755,-0.57602555,0.55079192,1.56E-05,86
0.24206674,0.27205923,-0.53545171,-0.67887837,6.69E-02,-0.20873989,1.56E-05,87
0.14110936,0.39437774,-0.40060073,-0.38944709,-0.7272625,-0.15606596,1.56E-05,88
6.03E-03,-3.76E-02,3.22E-02,0.38867807,0.36550647,-0.22117679,1.56E-05,89
0.44054809,0.39190283,3.72E-02,-0.22361547,-8.46E-02,-0.28690147,1.56E-05,90
0.25135404,-0.32767385,0.27584097,-4.45E-02,0.40067354,0.27421069,1.56E-05,91
-0.85448295,0.80414313,5.21E-02,-0.1125448,3.02E-02,-0.62021768,1.56E-05,92
0.14010838,-3.91E-02,0.35962805,0.54147905,0.10457502,-0.40488583,1.56E-05,93
-0.14191519,4.09E-02,-0.28728962,-1.3277174,3.89E-02,0.15618291,1.56E-05,94
-0.60698521,-0.9092893,-5.71E-02,0.29913965,0.30381373,-0.27003291,1.56E-05,95
0.34965676,-2.99E-03,6.25E-02,0.57006359,0.48180217,-3.88E-02,1.56E-05,96
-6.79E-02,3.84E-02,2.98E-02,-0.60796863,1.5053834,-0.56808454,1.56E-05,97
3.61E-02,5.14E-02,-0.57130224,-0.45381543,0.35910988,0.76762617,1.56E-05,98
-0.32922438,0.99422508,0.22256193,-0.64667141,-0.42615122,0.20901483,1.56E-05,99
-0.71066791,-0.13789278,0.1164801,0.32682759,1.1431522,-4.88E-02,1.56E-05,100
9.39E-02,-0.9436307,-0.91089255,-0.46089694,-0.14305395,-0.54186916,1.56E-05,101
0.43931726,0.75181913,-0.64566141,0.12832771,1.08E-02,0.55123514,1.56E-05,102
0.13050003,-0.11862159,6.82E-02,-1.53E-03,0.21180665,0.15552713,1.56E-05,103
-0.27954847,0.32110962,0.41475374,0.72960448,-0.33767059,0.10704315,1.56E-05,104
0.23472567,-1.2275702,0.75333023,0.17628971,-3.44E-02,-0.36250082,1.56E-05,105
-0.50702918,0.6933338,0.39210624,-0.92076439,-0.39961252,-4.71E-02,1.56E-05,106
